place,region,subregion,district,constituency
area/amuru_district,Northern,Acholi,Amuru,_
area/aringa_county,Northern,West Nile,Yumbe,Aringa County
area/bbale_county,Central,Buganda,Kayunga,Bbale County
area/bubulo_county_east,Eastern,Bugisu,Manafwa,Bubulo East
area/bubulo_county_west,Eastern,Bugisu,Manafwa,Bubulo West
area/budadiri_county_east,Eastern,Bugisu,Sironko,Budadiri East
area/budadiri_county_west,Eastern,Bugisu,Sironko,Budadiri West
area/budiope_county_east,Eastern,Busoga,Buyende,Budiope East
area/budiope_county_west,Eastern,Busoga,Buyende,Budiope West
area/bufumbira_county_east,Western,Kigezi,Kisoro,Bufumbira East
area/bufumbira_county_north,Western,Kigezi,Kisoro,Bufumbira North
area/bufumbira_county_south,Western,Kigezi,Kisoro,Bufumbira South
area/bugabula_county_north,Eastern,Busoga,Kamuli,Bugabula North
area/bugabula_county_south,Eastern,Busoga,Kamuli,Bugabula South
area/bugahya_county,Western,Bunyoro,Hoima,Bugahya County
area/bugangaizi_county_east,Western,Bunyoro,Kibaale,Bugangaizi East
area/bugangaizi_county_west,Western,Bunyoro,Kibaale,Bugangaizi West
area/bughendera,Western,Tooro/Rwenzori,Bundibugyo,Bughendera County
area/buikwe_county_north,Central,Buganda,Buikwe,Buikwe North
area/buikwe_county_south,Central,Buganda,Buikwe,Buikwe South
area/buikwe_county_west,Central,Buganda,Buikwe,Buikwe West
area/bujuma_county,Central,Buganda,Kalangala,Bujuma County
area/bukomansimbi_county,Central,Buganda,Bukomansimbi,Bukomansimbi County
area/bukonjo_county_east,Western,Tooro/Rwenzori,Kasese,Bukonjo East
area/bukonjo_county_west,Western,Tooro/Rwenzori,Kasese,Bukonjo West
area/bukooli_county_central,Eastern ,Busoga,Bugiri,Bukooli Central
area/bukooli_county_north,Eastern ,Busoga,Bugiri,Bukooli North
area/bukooli_county_south,Eastern ,Busoga,Bugiri,Bukooli South
area/bukooli_islands_county,Eastern ,Busoga,Bugiri,Bukooli Island
area/bukoto_county_central,Central,Buganda,Masaka,Bukoto Central
area/bukoto_county_east,Central,Buganda,Masaka,Bukoto East
area/bukoto_county_mid-west,Central,Buganda,Masaka,Bukoto Mid West
area/bukoto_county_south,Central,Buganda,Masaka,Bukoto South
